"Subject","Start Date","Start Time","End Date","End Time","Location","Description","Organizer","All Day","Importance","Busy Status","Sensitivity","Is Recurring","Recurrence Pattern","Reminder (minutes)"
"Tom Cranstoun's Birthday (29/06/1955)","1955-06-29","All Day","1955-06-29","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=29",""
"Tom Cranstoun's Birthday (29/06/1955)","1955-06-29","All Day","1955-06-29","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=29",""
"Birthday - Jacqui  Boulton (25/05/1956)","1956-05-25","All Day","1956-05-25","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=25",""
"Jacqui & Steve Boulton's Birthday (25/05/1956)","1956-05-25","All Day","1956-05-25","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=25",""
"Steve Holloway's Birthday (21/11/1956)","1956-11-21","All Day","1956-11-21","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=21",""
"Anne Walker's Birthday (25/05/1957)","1957-05-25","All Day","1957-05-25","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=25",""
"Birthday - Jane Bourke (13/10/1958)","1958-10-13","All Day","1958-10-13","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=13",""
"Jen & Geoff Prestage's Anniversary (19/09/1959)","1959-09-19","All Day","1959-09-19","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=19",""
"Jen & Geoff Prestage's Anniversary (19/09/1959)","1959-09-19","All Day","1959-09-19","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=19",""
"Steve & Gina May's Birthday (12/05/1960)","1960-05-12","All Day","1960-05-12","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=12",""
"Richard Hamilton's Birthday (20/07/1961)","1961-07-20","All Day","1961-07-20","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=20",""
"work Richard Hamilton's Birthday (20/07/1961)","1961-07-20","All Day","1961-07-20","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=20",""
"Richard Hamilton's Birthday (20/07/1961)","1961-07-20","All Day","1961-07-20","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=20",""
"Roger & Margaret Spreckley's Anniversary (10/09/1962)","1962-09-10","All Day","1962-09-10","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=10",""
"Barbara Rule's Birthday (09/08/1965)","1965-08-09","All Day","1965-08-09","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=9",""
"Dave & Barbara Rule's Birthday (09/08/1965)","1965-08-09","All Day","1965-08-09","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=9",""
"Birthday - Lucy Collins (28/05/1967)","1967-05-28","All Day","1967-05-28","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=28",""
"Lucy & Richard Collins's Birthday (28/05/1967)","1967-05-28","All Day","1967-05-28","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=28",""
"Birthday - Helen Dean / Harley (02/05/1970)","1970-05-02","All Day","1970-05-02","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=2",""
"Stephen Dow's Birthday (27/04/1977)","1977-04-27","All Day","1977-04-27","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=27",""
"Stephen Dow's Birthday (27/04/1977)","1977-04-27","All Day","1977-04-27","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=27",""
"Wedding Anniversary - Paul & Carol (11/05/1978)","1978-05-11","All Day","1978-05-11","All Day","","false
false
false

EN-GB
X-NONE
AR-SA
















































































































































































































































































































































































































/* Style Definitions */
table.MsoNormalTable
	{mso-style-name:""Table Normal"";
	mso-tstyle-rowband-size:0;
	mso-tstyle-colband-size:0;
	mso-style-noshow:yes;
	mso-style-priority:99;
	mso-style-parent:"""";
	mso-padding-alt:0in 5.4pt 0in 5.4pt;
	mso-para-margin:0in;
	mso-para-margin-bottom:.0001pt;
	mso-pagination:widow-orphan;
	font-size:11.0pt;
	font-family:""Calibri"",sans-serif;
	mso-ascii-font-family:Calibri;
	mso-hansi-font-family:Calibri;
	mso-bidi-font-family:Arial;
	mso-fareast-language:EN-US;}","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=11",""
"Kevin & Sue Humphrey's Anniversary (05/05/1979)","1979-05-05","All Day","1979-05-05","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=5",""
"Alex & Sandra MacPhail's Birthday (27/09/1979)","1979-09-27","All Day","1979-09-27","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=27",""
"Birthday - Richard Stephen (08/03/1980)","1980-03-08","All Day","1980-03-08","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=8",""
"Ivor Hartley's Birthday (23/04/1980)","1980-04-23","All Day","1980-04-23","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=23",""
"Kevin & Sue Humphrey's Anniversary (05/05/1980)","1980-05-05","All Day","1980-05-05","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=5",""
"Steve & Gina May's Birthday (12/05/1980)","1980-05-12","All Day","1980-05-12","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=12",""
"Jim & Winnie Dennis's Birthday (16/05/1980)","1980-05-16","All Day","1980-05-16","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Steve & Elaine Thourgood's Birthday (21/05/1980)","1980-05-21","All Day","1980-05-21","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=21",""
"Jacqui & Steve Boulton's Birthday (25/05/1980)","1980-05-25","All Day","1980-05-25","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=25",""
"Lucy & Richard Collins's Birthday (28/05/1980)","1980-05-28","All Day","1980-05-28","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=28",""
"Trevor & Jean Simmonds's Birthday (04/06/1980)","1980-06-04","All Day","1980-06-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Steve& Marie Clifford's Birthday (10/06/1980)","1980-06-10","All Day","1980-06-10","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=10",""
"Steph & Ray Borwell's Birthday (13/06/1980)","1980-06-13","All Day","1980-06-13","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=13",""
"Richard Carr's Birthday (16/06/1980)","1980-06-16","All Day","1980-06-16","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Tom Cranstoun's Birthday (29/06/1980)","1980-06-29","All Day","1980-06-29","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=29",""
"Richard Leathley's Birthday (04/07/1980)","1980-07-04","All Day","1980-07-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Simon & Jeanette Tranmer's Birthday (11/07/1980)","1980-07-11","All Day","1980-07-11","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=11",""
"Jacqui & Steve Boulton's Anniversary (19/07/1980)","1980-07-19","All Day","1980-07-19","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=19",""
"Jacqui & Steve Boulton's Anniversary (19/07/1980)","1980-07-19","All Day","1980-07-19","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=19",""
"David & Lynne Steel's Birthday (22/08/1980)","1980-08-22","All Day","1980-08-22","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=22",""
"Roger & Margaret Spreckley's Anniversary (10/09/1980)","1980-09-10","All Day","1980-09-10","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=10",""
"Jen & Geoff Prestage's Anniversary (19/09/1980)","1980-09-19","All Day","1980-09-19","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=19",""
"Alex & Sandra MacPhail's Birthday (27/09/1980)","1980-09-27","All Day","1980-09-27","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=27",""
"Andrew McGregor's Birthday (29/09/1980)","1980-09-29","All Day","1980-09-29","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=29",""
"David Annal's Birthday (04/10/1980)","1980-10-04","All Day","1980-10-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Birthday - Phil Barber (16/10/1980)","1980-10-16","All Day","1980-10-16","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=16",""
"Steve Holloway's Birthday (21/11/1980)","1980-11-21","All Day","1980-11-21","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=21",""
"Peter & Miriam Hamilton's Anniversary (12/12/1980)","1980-12-12","All Day","1980-12-12","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=12",""
"Colin & Theresa Dow's Birthday (17/12/1980)","1980-12-17","All Day","1980-12-17","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=17",""
"Suzanne Dow's Birthday (08/05/1981)","1981-05-08","All Day","1981-05-08","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=8",""
"Claire Louise Le Fevre's Birthday (28/07/1982)","1982-07-28","All Day","1982-07-28","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=28",""
"Claire Le Fevre's Birthday (28/07/1982)","1982-07-28","All Day","1982-07-28","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=28",""
"Birthday - Lauren Jacovides's (10/08/1982)","1982-08-10","All Day","1982-08-10","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=10",""
"Birthday - Jo Dean (25/10/1982)","1982-10-25","All Day","1982-10-25","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=25",""
"Jill & Richard Brown's Anniversary (03/07/1987)","1987-07-03","All Day","1987-07-03","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=3",""
"Lauren Fulton's Birthday (30/08/1987)","1987-08-30","All Day","1987-08-30","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=30",""
"Claire Humphrey's Birthday (09/05/1988)","1988-05-09","All Day","1988-05-09","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=9",""
"!Claire Humphrey's Birthday (09/05/1988)","1988-05-09","All Day","1988-05-09","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=9",""
"Margaret & Sam McKinlay's Anniversary (19/12/1988)","1988-12-19","All Day","1988-12-19","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=19",""
"Debbie Haynes's Anniversary (30/06/1990)","1990-06-30","All Day","1990-06-30","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=30",""
"Ian Haynes's Anniversary (30/06/1990)","1990-06-30","All Day","1990-06-30","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=30",""
"Birthday  - Amy Fulton (20/10/1990)","1990-10-20","All Day","1990-10-20","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=20",""
"Penny & Chris Prestage-Roles's Anniversary (20/06/1992)","1992-06-20","All Day","1992-06-20","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=20",""
"Lucy & Richard Collins's Anniversary (04/09/1992)","1992-09-04","All Day","1992-09-04","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=4",""
"Anne & Steve's Anniversary (24/06/1994)","1994-06-24","All Day","1994-06-24","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=24",""
"Anne & Steve's Anniversary (24/06/1994)","1994-06-24","All Day","1994-06-24","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=24",""
"Heather & Christopher Bates's Birthday (03/08/1994)","1994-08-03","All Day","1994-08-03","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=3",""
"Daniel & Sue Prestage's Anniversary (03/10/1994)","1994-10-03","All Day","1994-10-03","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=3",""
"Penny Prestage-Roles's Birthday (02/06/1997)","1997-06-02","All Day","1997-06-02","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=2",""
"Penny & Chris Prestage-Roles's Birthday (02/06/1997)","1997-06-02","All Day","1997-06-02","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=2",""
"Phil & Barbara Brown's Anniversary (22/08/1998)","1998-08-22","All Day","1998-08-22","All Day","","","","Yes","normal","free","normal","Yes","RRULE;FREQ=YEARLY;INTERVAL=12;BYMONTHDAY=22",""
"The Board Meeting","2000-01-12","14:00:00","2000-01-12","18:00:00","127 COR","The Time quoted is for guidance - each meeting will be confirmed at the end of each previous meeting.
","","No","normal","tentative","normal","No","",""
"Course at THC","2000-02-29","09:00:00","2000-02-29","17:00:00","","","","No","normal","busy","normal","No","",""
"Assist/ Keith re AMP data transfer","2000-03-01","10:00:00","2000-03-01","12:00:00","","","","No","normal","busy","normal","No","",""
"Asbestos Steering Group, 208 - BS&S","2000-03-01","14:30:00","2000-03-01","16:30:00","","","","No","normal","busy","normal","No","",""
"Train to Fareham","2000-03-03","08:30:00","2000-03-03","10:05:00","","","","No","normal","busy","normal","No","",""
"Bob's Funeral - Porchester Crem","2000-03-03","11:45:00","2000-03-03","12:15:00","","","","No","normal","busy","normal","No","",""
"DON - Ealdham Annual Review (Pilot)","2000-03-03","14:30:00","2000-03-03","16:30:00","","","","No","normal","busy","normal","No","",""
"Train to Waterloo","2000-03-03","15:00:00","2000-03-03","17:00:00","","","","No","normal","busy","normal","No","",""
"Train to York with Barbara & Phil","2000-03-03","18:30:00","2000-03-03","20:30:00","","","","No","normal","busy","normal","No","",""
"Lucy Nelson at Merchant Way","2000-03-04","09:30:00","2000-03-04","11:00:00","","","","No","normal","busy","normal","No","",""
"Malton Swim","2000-03-05","17:00:00","2000-03-05","18:00:00","","","","No","normal","busy","normal","No","",""
"Aamir & Richard re Asbestos Timetable","2000-03-06","10:30:00","2000-03-06","11:30:00","","","","No","normal","busy","normal","No","",""
"Governors Property Consultative","2000-03-06","13:30:00","2000-03-06","15:00:00","","","","No","normal","busy","normal","No","",""
"Home Building & Renovation Ex  - NEC","2000-03-09","10:00:00","2000-03-09","18:00:00","","","","No","normal","busy","normal","No","",""
"GPMT","2000-03-09","15:00:00","2000-03-09","18:00:00","","","","No","normal","busy","normal","No","",""
"HB & R Exhib - NEC","2000-03-10","10:00:00","2000-03-10","18:00:00","","","","No","normal","busy","normal","No","",""
"HB&R Exhib - NEC","2000-03-11","10:00:00","2000-03-11","18:00:00","","","","No","normal","busy","normal","No","",""
"SWAN to Brighton","2000-03-11","18:00:00","2000-03-11","21:00:00","","","","No","normal","busy","normal","No","",""
"York Water World","2000-03-11","18:00:00","2000-03-11","22:00:00","","","","No","normal","busy","normal","No","",""
"Glassex @ NEC","2000-03-12","10:00:00","2000-03-12","17:00:00","","","","No","normal","busy","normal","No","",""
"HB&R Exhib @ NEC","2000-03-12","10:00:00","2000-03-12","18:00:00","","","","No","normal","busy","normal","No","",""
"Tom To Computer Fair @ Bromley with Dr David","2000-03-12","11:00:00","2000-03-12","15:00:00","","","","No","normal","busy","normal","No","",""
"Chase AGM","2000-03-18","14:00:00","2000-03-18","16:00:00","","","","No","normal","busy","normal","No","",""
"Ofsted action Plan Review - Dick's Office.","2000-03-23","10:00:00","2000-03-23","12:00:00","","","","No","normal","busy","normal","No","",""
"Heads Property Consultative - PDC","2000-03-23","13:30:00","2000-03-23","15:00:00","","","","No","normal","busy","normal","No","",""
"Asbestos Steering Group BSS Room 208","2000-03-23","14:00:00","2000-03-23","14:00:00","","","","No","normal","busy","normal","No","",""
"Colin & Jenny in York","2000-03-24","00:00:00","2000-03-26","22:00:00","","","","No","normal","free","normal","No","",""
"Colin & Jenny in York","2000-03-24","All Day","2000-03-27","All Day","","","","Yes","normal","free","normal","No","",""
"Meet YORK","2000-03-24","08:00:00","2000-03-24","17:00:00","","","","No","normal","busy","normal","No","",""
"1-1 with Dean","2000-03-28","09:30:00","2000-03-28","11:00:00","","","","No","normal","busy","normal","No","",""
"AFH SS Liaison","2000-03-28","13:00:00","2000-03-28","15:00:00","","","","No","normal","busy","normal","No","",""
"1-1 with Laurence","2000-03-30","09:00:00","2000-03-30","10:30:00","","","","No","normal","busy","normal","No","",""
"HOLIDAY - Bahamas Bliss","2000-04-05","09:00:00","2000-04-14","07:00:00","","","","No","normal","busy","normal","No","",""
"GPMT","2000-04-06","08:30:00","2000-04-06","11:30:00","","","","No","normal","busy","normal","No","",""
"OUBS Creativity Weekend, Newport Pagnall","2000-04-07","18:00:00","2000-04-09","11:30:00","","","","No","normal","busy","normal","No","",""
"Doncater Dome Tel:01723 503456","2000-04-08","17:00:00","2000-04-08","21:00:00","","","","No","normal","busy","normal","No","",""
"Silverleigh","2000-04-08","18:00:00","2000-04-08","21:00:00","","","","No","normal","busy","normal","No","",""
"Collect Poke","2000-04-14","09:00:00","2000-04-14","09:00:00","","","","No","normal","busy","normal","No","",""
"Visit Andrew re costs","2000-04-14","09:00:00","2000-04-14","09:00:00","","","","No","normal","busy","normal","No","",""
"Updated: Planning Meeting","2000-04-18","10:00:00","2000-04-18","11:00:00","127 COR","This meeting has been put back due to a change in the Board Meeting time.

Hope this is satisfactory.
Many thanks
","","No","normal","busy","normal","No","",""
"Directors H&S visit","2000-04-18","13:00:00","2000-04-18","16:00:00","","","","No","normal","busy","normal","No","",""
"GPMT","2000-04-18","13:30:00","2000-04-18","14:30:00","","","","No","normal","busy","normal","No","",""
"Updated: Board Meeting","2000-04-18","17:30:00","2000-04-18","21:30:00","","This confirms that the Board meeting is now at a later time.  Hope this is satisfactory.  The Location might change due to it being an evening meeting.  Will confirm on 17th April.
Many thanks
","","No","normal","tentative","normal","No","",""
"Steve Interview","2000-04-20","09:00:00","2000-04-20","10:00:00","","
------------
From:	Jeannette Bourton
Sent:	18 April 2000 17:04
To:	Tom Cranstoun
Subject:	Thursdays Interviews

Tom,

Steve is coming at 10 am on Thursday.

Colin is coming at 12 noon on Thursday.

Jeannette Bourton
Technical Executive
Top Hat Computing Ltd
Tel: 020 8680 4860
E-Mail: jeannette@tophat.co.uk



","","No","normal","busy","normal","No","",""
"1-1 with Dean","2000-04-20","09:30:00","2000-04-20","11:00:00","","","","No","normal","busy","normal","No","",""
"Colin Interview","2000-04-20","11:00:00","2000-04-20","12:00:00","","","","No","normal","busy","normal","No","",""
"Bank Holiday","2000-04-21","08:00:00","2000-04-21","17:00:00","","","","No","normal","busy","normal","No","",""
"Easter Sunday","2000-04-23","07:00:00","2000-04-23","07:00:00","","","","No","normal","busy","normal","No","",""
"Easter Monday","2000-04-24","07:00:00","2000-04-24","22:30:00","","","","No","normal","busy","normal","No","",""
"Bank Holiday","2000-04-24","08:00:00","2000-04-24","17:00:00","","","","No","normal","busy","normal","No","",""
"4MC Media Server Demonstration","2000-04-25","08:00:00","2000-04-25","16:00:00","127 COR","","","No","normal","busy","normal","No","",""
"1-1 with Dean","2000-04-25","09:30:00","2000-04-25","11:00:00","","","","No","normal","busy","normal","No","",""
"1-1 with Laurence","2000-04-27","09:00:00","2000-04-27","10:30:00","","","","No","normal","busy","normal","No","",""
"Meeting with Mike Fitzsimons - thenetchart.com","2000-04-28","09:30:00","2000-04-28","12:00:00","127 COR","","","No","normal","busy","normal","No","",""
"May Day Bank Holiday","2000-05-01","07:00:00","2000-05-01","22:30:00","","","","No","normal","busy","normal","No","",""
"York all Day","2000-05-02","08:00:00","2000-05-02","16:00:00","","","","No","normal","busy","normal","No","",""
"Lee McGinty - Unique","2000-05-03","13:30:00","2000-05-03","15:00:00","77 Long Lane","77 Long Lane
","","No","normal","busy","normal","No","",""
"At BBC with Jon Westgate","2000-05-09","08:00:00","2000-05-09","13:00:00","","","","No","normal","busy","normal","No","",""
"Martin for his appraisal","2000-05-09","13:00:00","2000-05-09","16:00:00","White City - BBC","Martin

Change of venue - still same time, but at White City.  Many thanks

","","No","normal","busy","normal","No","",""
"Meeting with Steve","2000-05-10","10:00:00","2000-05-10","12:00:00","IOD","Sorry Steve - time has changed.
","","No","normal","busy","normal","No","",""
