"ID","Subject","Start Date","Years Span","Action","Old Pattern","New Pattern","Reason"
"963","Recycling Only Today (no green bins)","2013-11-04","87","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20231104T235959Z","WEEKLY recurrence span (87 years) exceeds maximum (10 years)"
"1501","pay £1,000 to each Nationwide Regular Saver","2013-03-01","87","CAPPED","RRULE;FREQ=MONTHLY;BYMONTHDAY=1;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYMONTHDAY=1;UNTIL=20330301T235959Z","MONTHLY recurrence span (87 years) exceeds maximum (20 years)"
"1652","Anne Picks up Ollie","2015-02-03","85","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TU;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TU;UNTIL=20250203T235959Z","WEEKLY recurrence span (85 years) exceeds maximum (10 years)"
"1658","Lunch with Maria?","2015-02-16","85","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20200216T235959Z","DAILY recurrence span (85 years) exceeds maximum (5 years)"
"1703","Clean & Dry Today (circa 12:30 - 14:30)","2015-02-24","85","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;UNTIL=20250224T235959Z","WEEKLY recurrence span (85 years) exceeds maximum (10 years)"
"1752","Right to Read: 08:50","2015-04-15","85","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20250415T235959Z","WEEKLY recurrence span (85 years) exceeds maximum (10 years)"
"1980","RICHARD HOME","2017-04-27","83","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=FR;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=FR;UNTIL=20270428T235959Z","WEEKLY recurrence span (83 years) exceeds maximum (10 years)"
"1990","Right to Read 08:50 - 10:30","2017-04-26","83","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20270426T235959Z","WEEKLY recurrence span (83 years) exceeds maximum (10 years)"
"2163","Right to Read 08:50 - 12:00","2017-09-20","83","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20270920T235959Z","WEEKLY recurrence span (83 years) exceeds maximum (10 years)"
"2215","Clean & Dry Today (circa 12:30 - 14:30)","2017-11-21","83","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;UNTIL=20271121T235959Z","WEEKLY recurrence span (83 years) exceeds maximum (10 years)"
"2254","Clean & Dry Today (circa 12:30 - 14:30)","2018-01-09","82","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=TU;UNTIL=20280109T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2273","Black Bin Collection","2018-01-08","82","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20280108T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2274","Recycling Collection","2018-01-15","82","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20280115T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2275","Recycling & Green Bin Collection","2018-04-08","82","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20280409T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2304","Check Eleanor's Life Fund","2018-02-18","82","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=SU;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=SU;UNTIL=20280218T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2354","19:00 - 21:00 Spanish 3 - Term 3","2018-04-11","82","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20280411T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2449","21st - DEADLINE for EC Sales List","2018-10-20","82","CAPPED","RRULE;FREQ=MONTHLY;INTERVAL=3;BYMONTHDAY=21;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;INTERVAL=3;BYMONTHDAY=21;UNTIL=20381021T235959Z","MONTHLY recurrence span (82 years) exceeds maximum (20 years)"
"2458","Children before school","2018-09-21","82","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=FR;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=FR;UNTIL=20280921T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2505","Anne collects Ollie & Lara","2018-09-26","82","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20280926T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2551","York Gin","2018-11-21","82","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20281121T235959Z","WEEKLY recurrence span (82 years) exceeds maximum (10 years)"
"2584","Collect Kids","2019-01-11","81","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=FR;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=FR;UNTIL=20290111T235959Z","WEEKLY recurrence span (81 years) exceeds maximum (10 years)"
"2607","Right to Read","2019-04-10","81","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20290410T235959Z","WEEKLY recurrence span (81 years) exceeds maximum (10 years)"
"2619","20:00 Black Swan Folk Club","2019-02-07","81","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20290207T235959Z","WEEKLY recurrence span (81 years) exceeds maximum (10 years)"
"2705","e-mail / talk to Isla re Close repairs","2019-04-06","81","CAPPED","RRULE;FREQ=MONTHLY;BYDAY=1SU;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYDAY=1SU;UNTIL=20390407T235959Z","MONTHLY recurrence span (81 years) exceeds maximum (20 years)"
"2734","Has Cate sent her hours?","2019-05-14","81","CAPPED","RRULE;FREQ=MONTHLY;BYMONTHDAY=14;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYMONTHDAY=14;UNTIL=20390514T235959Z","MONTHLY recurrence span (81 years) exceeds maximum (20 years)"
"2757","Aquafit 09:30","2019-06-24","81","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=MO;UNTIL=20290624T235959Z","WEEKLY recurrence span (81 years) exceeds maximum (10 years)"
"2764","10:0 00 Spanish","2019-09-19","81","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20290919T235959Z","WEEKLY recurrence span (81 years) exceeds maximum (10 years)"
"2820","Check on Eddies Bathroom","2019-07-23","81","CAPPED","RRULE;FREQ=DAILY;INTERVAL=2;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;INTERVAL=2;UNTIL=20240723T235959Z","DAILY recurrence span (81 years) exceeds maximum (5 years)"
"2927","Log-in to Experian for credit score","2019-11-14","81","CAPPED","RRULE;FREQ=DAILY;INTERVAL=28;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;INTERVAL=28;UNTIL=20241114T235959Z","DAILY recurrence span (81 years) exceeds maximum (5 years)"
"2963","Green Bin Collection","2020-04-05","80","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20300406T235959Z","WEEKLY recurrence span (80 years) exceeds maximum (10 years)"
"2976","Lunch with Carole & Neville - Yarm?","2020-01-20","80","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20250120T235959Z","DAILY recurrence span (80 years) exceeds maximum (5 years)"
"3061","Nev & Carole tonight?","2020-06-03","80","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=WE;UNTIL=20300603T235959Z","WEEKLY recurrence span (80 years) exceeds maximum (10 years)"
"3077","19:30 - B&D","2020-04-09","80","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20300409T235959Z","WEEKLY recurrence span (80 years) exceeds maximum (10 years)"
"3078","18:00 - The Faction","2020-05-31","80","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=SU;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=SU;UNTIL=20300531T235959Z","WEEKLY recurrence span (80 years) exceeds maximum (10 years)"
"3079","19:30 Harley Quiz","2020-06-06","80","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=SA;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=SA;UNTIL=20300606T235959Z","WEEKLY recurrence span (80 years) exceeds maximum (10 years)"
"3241","10:00 Spanish","2021-01-14","79","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20310114T235959Z","WEEKLY recurrence span (79 years) exceeds maximum (10 years)"
"3327","Check Better.org for Aquafit classes","2021-05-14","79","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20260514T235959Z","DAILY recurrence span (79 years) exceeds maximum (5 years)"
"3395","Tom's pension payment today ","2021-08-01","79","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=4;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=4;BYDAY=MO;UNTIL=20310802T235959Z","WEEKLY recurrence span (79 years) exceeds maximum (10 years)"
"3407","TRACY -Restday","2021-07-11","79","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20260712T235959Z","DAILY recurrence span (79 years) exceeds maximum (5 years)"
"3421","Check Malmaison for Reservation","2021-07-30","79","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20260730T235959Z","DAILY recurrence span (79 years) exceeds maximum (5 years)"
"3429","Check Tesco CC for Manuals refunds","2021-08-12","79","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20260812T235959Z","DAILY recurrence span (79 years) exceeds maximum (5 years)"
"3575","Green Bin","2022-03-07","78","CAPPED","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;INTERVAL=2;BYDAY=MO;UNTIL=20320307T235959Z","WEEKLY recurrence span (78 years) exceeds maximum (10 years)"
"3611","10:00 - 12:00 Spanish Class","2022-01-20","78","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20320120T235959Z","WEEKLY recurrence span (78 years) exceeds maximum (10 years)"
"3654","Check Hedges Watering System","2022-07-10","78","CAPPED","RRULE;FREQ=DAILY;INTERVAL=3;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;INTERVAL=3;UNTIL=20270710T235959Z","DAILY recurrence span (78 years) exceeds maximum (5 years)"
"4064","10:00 SPANISH","2022-09-22","78","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH;UNTIL=20320922T235959Z","WEEKLY recurrence span (78 years) exceeds maximum (10 years)"
"4074","14:00 - 16:00 U3A Genealogy Together Group","2022-09-15","78","CAPPED","RRULE;FREQ=MONTHLY;BYDAY=3TH;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYDAY=3TH;UNTIL=20420915T235959Z","MONTHLY recurrence span (78 years) exceeds maximum (20 years)"
"4190","10:00 Spanish","2023-04-17","77","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=MO;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=MO;UNTIL=20330417T235959Z","WEEKLY recurrence span (77 years) exceeds maximum (10 years)"
"4281","AKL Feed the Rest open 9-2","2023-08-02","77","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=TH,FR,SA;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=TH,FR,SA;UNTIL=20330803T235959Z","WEEKLY recurrence span (77 years) exceeds maximum (10 years)"
"4325","Telephone Adam at PF Jones re tow bar for cycle carrier","2023-09-20","77","CAPPED","RRULE;FREQ=MONTHLY;BYMONTHDAY=20;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYMONTHDAY=20;UNTIL=20430920T235959Z","MONTHLY recurrence span (77 years) exceeds maximum (20 years)"
"4436","10:00 -12:00 Beginners Cryptic Crosswords","2024-01-17","76","CAPPED","RRULE;FREQ=MONTHLY;BYDAY=3WE;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYDAY=3WE;UNTIL=20440117T235959Z","MONTHLY recurrence span (76 years) exceeds maximum (20 years)"
"4437","10:00 - 12:00 Beginners Cryptic Crosswords £3","2024-02-07","76","CAPPED","RRULE;FREQ=MONTHLY;BYDAY=1WE;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYDAY=1WE;UNTIL=20440207T235959Z","MONTHLY recurrence span (76 years) exceeds maximum (20 years)"
"4504","Meet me at the Museum Event - All Day - Saturdays until 31/8","2024-07-26","76","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=SA;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=SA;UNTIL=20340727T235959Z","WEEKLY recurrence span (76 years) exceeds maximum (10 years)"
"4543","Toms Online Photo Course","2024-08-05","76","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20290805T235959Z","DAILY recurrence span (76 years) exceeds maximum (5 years)"
"4579","Ring dentist to see if any cancellations","2024-08-02","76","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=FR;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=FR;UNTIL=20340802T235959Z","WEEKLY recurrence span (76 years) exceeds maximum (10 years)"
"4640","10:00 - 12:00 U3A Photography Group - Tom","2024-09-26","76","CAPPED","RRULE;FREQ=MONTHLY;BYDAY=4TH;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYDAY=4TH;UNTIL=20440926T235959Z","MONTHLY recurrence span (76 years) exceeds maximum (20 years)"
"4749","19:00 for 19:30 York Family History Society - AGM & Quiz","2025-04-02","75","CAPPED","RRULE;FREQ=MONTHLY;BYDAY=1WE;UNTIL=21001231T235959Z","RRULE;FREQ=MONTHLY;BYDAY=1WE;UNTIL=20450402T235959Z","MONTHLY recurrence span (75 years) exceeds maximum (20 years)"
"4790","Free Pro Tools until 30th May","2025-04-30","75","CAPPED","RRULE;FREQ=DAILY;UNTIL=21001231T235959Z","RRULE;FREQ=DAILY;UNTIL=20300501T235959Z","DAILY recurrence span (75 years) exceeds maximum (5 years)"
"4849","Chase KTC re Share Issue","2025-07-16","75","CAPPED","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=21001231T235959Z","RRULE;FREQ=WEEKLY;BYDAY=WE;UNTIL=20350716T235959Z","WEEKLY recurrence span (75 years) exceeds maximum (10 years)"
